image_name,mean_chroma,deltaE,black_level_r,black_level_g1,black_level_g2,black_level_b,white_level,wb_r,wb_g1,wb_g2,wb_b,saturation_level
a0006-IMG_2787.dng,10.825462977311881,1.696555807593925,1024,1024,1023,1024,16000,2.4501936435699463,1.0,1.3759757280349731,0.0,3
a0026-kme_391.dng,35.25002378421328,1.3852833403129856,128,128,127,127,4095,1.4584742784500122,1.0,2.128814458847046,0.0,5
a0030-_MG_7844.dng,11.698971379531866,1.3551492254799002,128,128,128,128,3692,2.0732433795928955,1.0,1.3984370231628418,0.0,3
a0019-jmac_MG_0653.dng,28.499930387410643,1.0622825318734572,127,127,127,127,3709,1.56442129611969,1.0,2.011639356613159,0.0,5
a0018-kme_234.dng,6.446222771221393,1.3167020399523532,128,128,127,127,4095,1.9359623193740845,1.0,1.4492607116699219,0.0,2
a0039-jmac_DSC3406.dng,3.8120539032530805,1.2671957846407762,0,0,0,0,4095,2.067136287689209,1.0,1.600706934928894,0.0,1
a0049-_I2E5952.dng,15.166774125336008,1.4067551894075945,127,127,127,127,3700,1.9457448720932007,1.0,1.3068290948867798,0.0,4
a0020-jmac_MG_6225 (1).dng,11.966083720273614,1.3986523646435702,128,128,128,128,3692,2.1884758472442627,1.0,1.475585699081421,0.0,4
a0004-jmac_MG_1384.dng,12.43431809755348,1.0001225472054582,128,127,128,128,3692,2.0566399097442627,1.0,1.4902352094650269,0.0,4
a0007-IMG_2480.dng,4.397683068250702,1.4755909992359049,1024,1024,1024,1025,16000,2.250974655151367,1.0,1.3876957893371582,0.0,1
a0055-050729_194412__I2E5282.dng,16.819241192609333,1.3875863987331483,127,127,127,127,3700,1.550044059753418,1.0,1.6727583408355713,0.0,4
a0012-kme_143.dng,6.422761376014544,0.853402581894063,128,128,127,127,4095,2.0640389919281006,1.0,1.4955663681030273,0.0,2
a0027-IMG_3964.dng,13.446698910891756,1.0520457964749454,1024,1024,1024,1024,16000,2.479494571685791,1.0,1.2626948356628418,0.0,4
a0009-kme_372.dng,16.801517908214816,1.0973732974463357,127,127,127,127,4095,1.2541953325271606,1.0,1.318758487701416,0.0,4
a0044-JI2E0511.dng,17.184188876690484,1.3336888109825344,127,127,128,127,3700,2.0195329189300537,1.0,1.2734376192092896,0.0,5
a0011-DSC_0082.dng,8.465649138404707,1.1602819295186828,0,0,0,0,4095,1.864864468574524,1.0,1.7939181327819824,0.0,3
a0034-LSYD4O2202.dng,19.694227787780896,0.9941040020552854,128,128,128,128,3711,1.920897364616394,1.0,1.4521480798721313,0.0,5
a0051-WP_CRW_3461.dng,17.682068593580073,1.23044723558363,129,128,128,129,4000,2.190019130706787,1.0,1.2387245893478394,0.0,5
a0043-07-11-27-at-12h09m46s-_MG_7307.dng,4.550389105507146,0.4886623199115462,128,127,127,128,3692,1.6708996295928955,1.0,1.8281235694885254,0.0,1
a0028-_DSC0032.dng,5.647955509163536,1.3670979169823787,0,0,0,0,4095,2.238283157348633,1.0,1.4687501192092896,0.0,1
a0041-IMG_4972.dng,9.084905700844002,0.5152348059436728,1024,1024,1024,1024,14400,2.0193045139312744,1.0,1.4720083475112915,0.0,3
a0016-jmac_MG_0795.dng,10.756369453754974,1.381950852698149,128,127,128,128,3692,2.023439407348633,1.0,1.6054688692092896,0.0,3
a0048-kme_066.dng,3.010162408852587,1.1774711205031578,1023,1023,1023,1023,13600,2.3818371295928955,1.0,1.2685542106628418,0.0,1
a0017-050710_031618__MG_3496.dng,15.570996188005703,1.412987804408978,128,128,127,127,4095,1.8206909894943237,1.0,2.1862082481384277,0.0,4
